+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 7235  | 0   | 7229 | 0   | 6   | 0   | GET    | /api/user/[a-zA-Z0-9]+/icon        | 0.004  | 0.552  | 329.637 | 0.046  | 0.112  | 0.144  | 0.236  | 0.050  | 0.000     | 171652.000 | 384979772.000 | 53210.749 |
| 18    | 0   | 4    | 0   | 14  | 0   | GET    | /api/user/[a-zA-Z0-9]+/statistics  | 2.336  | 20.005 | 244.377 | 13.577 | 20.005 | 20.005 | 20.005 | 7.708  | 0.000     | 113.000    | 485.000       | 26.944    |
| 846   | 0   | 831  | 0   | 15  | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.004  | 1.720  | 197.264 | 0.233  | 0.540  | 0.788  | 1.316  | 0.254  | 2.000     | 48706.000  | 8436651.000   | 9972.401  |
| 169   | 0   | 167  | 0   | 2   | 0   | GET    | /api/livestream/search             | 0.028  | 7.000  | 188.751 | 1.117  | 2.968  | 3.336  | 6.260  | 1.258  | 0.000     | 103797.000 | 9066898.000   | 53650.284 |
| 916   | 0   | 898  | 0   | 18  | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004  | 1.692  | 179.092 | 0.196  | 0.484  | 0.704  | 1.236  | 0.243  | 0.000     | 46496.000  | 7457442.000   | 8141.312  |
| 79    | 0   | 76   | 0   | 3   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.096  | 7.928  | 166.135 | 2.103  | 3.864  | 6.388  | 7.928  | 1.578  | 0.000     | 17.000     | 1292.000      | 16.354    |
| 943   | 0   | 930  | 0   | 13  | 0   | POST   | /api/livestream/[0-9]+/livecomment | 0.008  | 0.556  | 99.025  | 0.105  | 0.248  | 0.296  | 0.420  | 0.095  | 44.000    | 2079.000   | 1463246.000   | 1551.692  |
| 468   | 0   | 463  | 0   | 3   | 2   | POST   | /api/register                      | 0.004  | 0.600  | 95.249  | 0.204  | 0.296  | 0.332  | 0.416  | 0.076  | 0.000     | 481.000    | 198046.000    | 423.175   |
| 257   | 0   | 250  | 0   | 7   | 0   | POST   | /api/livestream/reservation        | 0.064  | 1.072  | 77.952  | 0.303  | 0.724  | 0.796  | 1.012  | 0.250  | 38.000    | 1095.000   | 231289.000    | 899.957   |
| 784   | 0   | 783  | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/reaction    | 0.004  | 0.496  | 63.248  | 0.081  | 0.172  | 0.212  | 0.328  | 0.067  | 1319.000  | 1615.000   | 1143184.000   | 1458.143  |
| 469   | 0   | 468  | 0   | 0   | 1   | POST   | /api/icon                          | 0.008  | 0.468  | 45.320  | 0.097  | 0.192  | 0.240  | 0.380  | 0.074  | 8.000     | 134.000    | 4598.000      | 9.804     |
| 479   | 0   | 474  | 0   | 5   | 0   | POST   | /api/login                         | 0.004  | 0.432  | 27.088  | 0.057  | 0.140  | 0.184  | 0.292  | 0.062  | 0.000     | 54.000     | 216.000       | 0.451     |
| 2     | 0   | 2    | 0   | 0   | 0   | POST   | /api/initialize                    | 11.060 | 13.192 | 24.252  | 12.126 | 13.192 | 13.192 | 13.192 | 1.066  | 19.000    | 19.000     | 38.000        | 19.000    |
| 5     | 0   | 4    | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/statistics  | 3.176  | 4.400  | 15.104  | 3.021  | 4.400  | 4.400  | 4.400  | 1.594  | 45.000    | 80.000     | 361.000       | 72.200    |
| 193   | 0   | 193  | 0   | 0   | 0   | GET    | /api/livestream                    | 0.008  | 0.508  | 12.673  | 0.066  | 0.188  | 0.252  | 0.384  | 0.086  | 2.000     | 17630.000  | 239494.000    | 1240.902  |
| 222   | 0   | 222  | 0   | 0   | 0   | GET    | /api/tag                           | 0.004  | 0.536  | 12.213  | 0.055  | 0.120  | 0.160  | 0.344  | 0.064  | 3384.000  | 3384.000   | 751248.000    | 3384.000  |
| 164   | 0   | 162  | 0   | 1   | 1   | GET    | /api/livestream/[0-9]+/report      | 0.004  | 0.608  | 8.704   | 0.053  | 0.120  | 0.204  | 0.608  | 0.083  | 2.000     | 14034.000  | 106344.000    | 648.439   |
| 117   | 0   | 114  | 0   | 3   | 0   | GET    | /api/livestream/[0-9]+/ngwords     | 0.004  | 0.296  | 7.380   | 0.063  | 0.152  | 0.196  | 0.268  | 0.066  | 2.000     | 197.000    | 1717.000      | 14.675    |
| 83    | 0   | 82   | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/enter       | 0.004  | 0.272  | 4.164   | 0.050  | 0.108  | 0.156  | 0.272  | 0.050  | 0.000     | 0.000      | 0.000         | 0.000     |
| 69    | 0   | 69   | 0   | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit        | 0.004  | 0.132  | 3.072   | 0.045  | 0.092  | 0.116  | 0.132  | 0.031  | 0.000     | 0.000      | 0.000         | 0.000     |
| 15    | 0   | 15   | 0   | 0   | 0   | GET    | /api/user/[a-zA-Z0-9]+/theme       | 0.004  | 0.180  | 0.544   | 0.036  | 0.096  | 0.180  | 0.180  | 0.044  | 28.000    | 28.000     | 420.000       | 28.000    |
| 3     | 0   | 2    | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+$            | 0.000  | 0.004  | 0.004   | 0.001  | 0.004  | 0.004  | 0.004  | 0.002  | 45.000    | 1095.000   | 2216.000      | 738.667   |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/payment                       | 0.004  | 0.004  | 0.004   | 0.002  | 0.004  | 0.004  | 0.004  | 0.002  | 15.000    | 15.000     | 30.000        | 15.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/user/test                     | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 194.000   | 194.000    | 388.000       | 194.000   |
| 7     | 0   | 6    | 0   | 1   | 0   | GET    | /api/user/me                       | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 45.000    | 206.000    | 1257.000      | 179.571   |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
