+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |   P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
|    13 |   0 |    2 |   0 |  11 |   0 | GET    | /api/user/[a-zA-Z0-9]+/statistics  |  0.508 | 20.000 | 185.080 | 14.237 |  4.520 | 20.000 | 17.728 |  7.930 |     0.000 |    113.000 |       220.000 |    16.923 |
|  5690 |   0 | 5688 |   0 |   2 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon        |  0.004 |  0.228 | 157.820 |  0.028 |  0.000 |  0.004 |  0.008 |  0.027 |     0.000 | 103051.000 | 294008578.000 | 51671.103 |
|    52 |   0 |   51 |   0 |   1 |   0 | POST   | /api/livestream/[0-9]+/moderate    |  0.096 |  3.964 | 101.868 |  1.959 |  0.096 |  1.576 |  1.724 |  0.859 |     0.000 |     17.000 |       867.000 |    16.673 |
|   607 |   0 |  605 |   0 |   2 |   0 | GET    | /api/livestream/[0-9]+/livecomment |  0.004 |  0.516 |  78.456 |  0.129 |  0.004 |  0.088 |  0.160 |  0.099 |     0.000 |  47992.000 |   6971923.000 | 11485.870 |
|   641 |   0 |  641 |   0 |   0 |   0 | GET    | /api/livestream/[0-9]+/reaction    |  0.004 |  0.516 |  72.920 |  0.114 |  0.000 |  0.100 |  0.292 |  0.100 |     2.000 |  44982.000 |   6430564.000 | 10032.081 |
|   137 |   0 |  136 |   0 |   1 |   0 | GET    | /api/livestream/search             |  0.024 |  1.148 |  61.392 |  0.448 |  0.076 |  0.464 |  0.500 |  0.195 |     0.000 | 120288.000 |   7241622.000 | 52858.555 |
|   274 |   0 |  272 |   0 |   1 |   1 | POST   | /api/register                      |  0.004 |  0.356 |  46.600 |  0.170 |  0.040 |  0.184 |  0.176 |  0.050 |    43.000 |    475.000 |    116412.000 |   424.861 |
|   168 |   0 |  165 |   0 |   3 |   0 | POST   | /api/livestream/reservation        |  0.076 |  0.356 |  31.972 |  0.190 |  0.020 |  0.244 |  0.216 |  0.092 |    38.000 |   1077.000 |    153616.000 |   914.381 |
|   645 |   0 |  639 |   0 |   6 |   0 | POST   | /api/livestream/[0-9]+/livecomment |  0.008 |  0.236 |  31.224 |  0.048 |  0.004 |  0.052 |  0.076 |  0.031 |    44.000 |   2115.000 |    998869.000 |  1548.634 |
|   568 |   0 |  568 |   0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction    |  0.004 |  0.244 |  28.592 |  0.050 |  0.004 |  0.040 |  0.140 |  0.035 |  1326.000 |   1594.000 |    829833.000 |  1460.974 |
|   280 |   0 |  276 |   0 |   1 |   3 | POST   | /api/icon                          |  0.008 |  0.388 |  18.528 |  0.066 |  0.020 |  0.160 |  0.060 |  0.042 |     0.000 |    134.000 |      3057.000 |    10.918 |
|     1 |   0 |    1 |   0 |   0 |   0 | POST   | /api/initialize                    | 11.645 | 11.645 |  11.645 | 11.645 | 11.645 | 11.645 | 11.645 |  0.000 |    19.000 |     19.000 |        19.000 |    19.000 |
|   280 |   0 |  278 |   0 |   2 |   0 | POST   | /api/login                         |  0.004 |  0.188 |   8.964 |  0.032 |  0.004 |  0.024 |  0.084 |  0.032 |     0.000 |     54.000 |       108.000 |     0.386 |
|     3 |   0 |    2 |   0 |   1 |   0 | GET    | /api/livestream/[0-9]+/statistics  |  1.852 |  3.248 |   8.280 |  2.760 |  3.248 |  3.248 |  3.180 |  0.643 |     0.000 |     80.000 |       158.000 |    52.667 |
|   154 |   0 |  153 |   0 |   1 |   0 | GET    | /api/tag                           |  0.004 |  0.280 |   5.240 |  0.034 |  0.004 |  0.028 |  0.028 |  0.036 |     0.000 |   3384.000 |    517752.000 |  3362.026 |
|   162 |   0 |  161 |   0 |   1 |   0 | GET    | /api/livestream/[0-9]+/report      |  0.008 |  0.172 |   4.768 |  0.029 |  0.000 |  0.060 |  0.068 |  0.028 |     0.000 |  17643.000 |     70368.000 |   434.370 |
|   150 |   0 |  150 |   0 |   0 |   0 | GET    | /api/livestream                    |  0.004 |  0.148 |   3.300 |  0.022 |  0.004 |  0.004 |  0.028 |  0.027 |     2.000 |  17626.000 |    167730.000 |  1118.200 |
|   104 |   0 |  104 |   0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords     |  0.004 |  0.156 |   3.148 |  0.030 |  0.000 |  0.052 |  0.024 |  0.030 |     2.000 |    114.000 |      1924.000 |    18.500 |
|    58 |   0 |   58 |   0 |   0 |   0 | POST   | /api/livestream/[0-9]+/enter       |  0.004 |  0.168 |   2.752 |  0.047 |  0.008 |  0.040 |  0.120 |  0.042 |     0.000 |      0.000 |         0.000 |     0.000 |
|    52 |   0 |   52 |   0 |   0 |   0 | DELETE | /api/livestream/[0-9]+/exit        |  0.004 |  0.116 |   1.864 |  0.036 |  0.004 |  0.020 |  0.016 |  0.029 |     0.000 |      0.000 |         0.000 |     0.000 |
|    12 |   0 |   12 |   0 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/theme       |  0.004 |  0.024 |   0.148 |  0.012 |  0.000 |  0.004 |  0.012 |  0.007 |    28.000 |     28.000 |       336.000 |    28.000 |
|     3 |   0 |    3 |   0 |   0 |   0 | GET    | /api/user/me                       |  0.004 |  0.004 |   0.008 |  0.003 |  0.004 |  0.004 |  0.000 |  0.002 |   194.000 |    206.000 |       606.000 |   202.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/user/test                     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    194.000 |       194.000 |   194.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/payment                       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |    15.000 |     15.000 |        15.000 |    15.000 |
|     1 |   0 |    1 |   0 |   0 |   0 | GET    | /api/livestream/[0-9]+$            |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  1077.000 |   1077.000 |      1077.000 |  1077.000 |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
