+-------+-----+------+------+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |   P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)  | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+-------------+-----------+
|    11 |   0 |    2 |    0 |   9 |   0 | GET    | /api/user/[a-zA-Z0-9]+/statistics  |  1.364 | 20.004 | 173.562 | 15.778 |  2.336 | 20.000 | 13.080 |  6.851 |     0.000 |    113.000 |     220.000 |    20.000 |
|  5082 |   0 | 1056 | 4021 |   5 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon        |  0.004 |  0.244 | 173.438 |  0.034 |  0.000 |  0.008 |  0.028 |  0.030 |     0.000 |  97956.000 | 8721192.000 |  1716.094 |
|    59 |   0 |   56 |    0 |   3 |   0 | POST   | /api/livestream/[0-9]+/moderate    |  0.056 |  8.656 | 122.079 |  2.069 |  0.096 |  1.720 |  1.324 |  1.405 |     0.000 |     17.000 |     952.000 |    16.136 |
|   584 |   0 |  583 |    0 |   1 |   0 | GET    | /api/livestream/[0-9]+/livecomment |  0.004 |  0.424 |  83.585 |  0.143 |  0.004 |  0.192 |  0.156 |  0.092 |     0.000 |  42039.000 | 6009798.000 | 10290.750 |
|   617 |   0 |  616 |    0 |   1 |   0 | GET    | /api/livestream/[0-9]+/reaction    |  0.004 |  0.436 |  73.313 |  0.119 |  0.004 |  0.272 |  0.192 |  0.090 |     0.000 |  40192.000 | 5320598.000 |  8623.335 |
|   110 |   0 |  110 |    0 |   0 |   0 | GET    | /api/livestream/search             |  0.024 |  1.196 |  55.408 |  0.504 |  0.032 |  0.460 |  0.984 |  0.216 |  9570.000 | 103973.000 | 5905845.000 | 53689.500 |
|   422 |   0 |  419 |    0 |   2 |   1 | POST   | /api/register                      |  0.024 |  0.308 |  51.305 |  0.122 |  0.000 |  0.096 |  0.140 |  0.043 |     0.000 |    475.000 |  179290.000 |   424.858 |
|   212 |   0 |  208 |    0 |   4 |   0 | POST   | /api/livestream/reservation        |  0.036 |  0.384 |  41.789 |  0.197 |  0.020 |  0.156 |  0.296 |  0.090 |     0.000 |   1069.000 |  194954.000 |   919.594 |
|   637 |   0 |  629 |    0 |   8 |   0 | POST   | /api/livestream/[0-9]+/livecomment |  0.012 |  0.256 |  37.856 |  0.059 |  0.008 |  0.092 |  0.052 |  0.034 |    44.000 |   2122.000 |  984967.000 |  1546.259 |
|   546 |   0 |  546 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction    |  0.004 |  0.216 |  33.416 |  0.061 |  0.004 |  0.052 |  0.104 |  0.037 |  1326.000 |   1589.000 |  797907.000 |  1461.368 |
|   435 |   0 |  424 |    0 |   0 |  11 | POST   | /api/icon                          |  0.012 |  0.220 |  30.364 |  0.070 |  0.036 |  0.060 |  0.040 |  0.039 |     8.000 |    134.000 |    5609.000 |    12.894 |
|   427 |   0 |  425 |    0 |   2 |   0 | POST   | /api/login                         |  0.004 |  0.232 |  15.484 |  0.036 |  0.000 |  0.040 |  0.032 |  0.032 |     0.000 |     54.000 |     108.000 |     0.253 |
