+-------+-----+------+------+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |   P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
|    11 |   0 |    2 |    0 |   9 |   0 | GET    | /api/user/[a-zA-Z0-9]+/statistics  |  2.332 | 20.004 | 183.044 | 16.640 |  2.404 | 20.000 | 20.004 |  6.745 |     0.000 |    113.000 |      220.000 |    20.000 |
|  5463 |   0 | 1121 | 4338 |   4 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon        |  0.004 |  0.204 | 160.232 |  0.029 |  0.004 |  0.016 |  0.016 |  0.026 |     0.000 | 171652.000 |  8881936.000 |  1625.835 |
|   259 |   0 |  256 |    0 |   3 |   0 | GET    | /api/livestream/search             |  0.024 |  1.156 | 134.692 |  0.520 |  0.080 |  0.596 |  0.680 |  0.158 |     0.000 | 110867.000 | 12842401.000 | 49584.560 |
|   591 |   0 |  591 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/livecomment |  0.004 |  0.560 |  90.832 |  0.154 |  0.008 |  0.128 |  0.316 |  0.107 |     2.000 |  49504.000 |  6901532.000 | 11677.719 |
|   626 |   0 |  622 |    0 |   4 |   0 | GET    | /api/livestream/[0-9]+/reaction    |  0.004 |  0.580 |  77.096 |  0.123 |  0.000 |  0.060 |  0.152 |  0.103 |     0.000 |  46307.000 |  5850125.000 |  9345.248 |
|   441 |   0 |  437 |    0 |   3 |   1 | POST   | /api/register                      |  0.028 |  0.244 |  52.348 |  0.119 |  0.000 |  0.108 |  0.156 |  0.036 |     0.000 |    472.000 |   187225.000 |   424.546 |
|   769 |   0 |  765 |    0 |   4 |   0 | POST   | /api/livestream/[0-9]+/livecomment |  0.008 |  0.252 |  42.872 |  0.056 |  0.004 |  0.036 |  0.060 |  0.030 |    44.000 |   2103.000 |  1198069.000 |  1557.957 |
|   213 |   0 |  210 |    0 |   3 |   0 | POST   | /api/livestream/reservation        |  0.108 |  0.380 |  42.460 |  0.199 |  0.020 |  0.244 |  0.256 |  0.087 |    38.000 |   1080.000 |   196569.000 |   922.859 |
|   549 |   0 |  549 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction    |  0.004 |  0.172 |  29.912 |  0.054 |  0.004 |  0.048 |  0.028 |  0.029 |  1315.000 |   1597.000 |   807773.000 |  1471.353 |
|   453 |   0 |  440 |    0 |   0 |  13 | POST   | /api/icon                          |  0.012 |  0.212 |  26.884 |  0.059 |  0.040 |  0.036 |  0.032 |  0.031 |     8.000 |    134.000 |     6036.000 |    13.325 |
|   445 |   0 |  443 |    0 |   2 |   0 | POST   | /api/login                         |  0.004 |  0.192 |  14.604 |  0.033 |  0.004 |  0.064 |  0.004 |  0.028 |     0.000 |     54.000 |      108.000 |     0.243 |
|   339 |   0 |  339 |    0 |   0 |   0 | GET    | /api/livestream                    |  0.004 |  0.244 |  12.156 |  0.036 |  0.012 |  0.032 |  0.060 |  0.034 |     2.000 |  17540.000 |   294394.000 |   868.419 |
|     1 |   0 |    1 |    0 |   0 |   0 | POST   | /api/initialize                    | 11.500 | 11.500 |  11.500 | 11.500 | 11.500 | 11.500 | 11.500 |  0.000 |    19.000 |     19.000 |       19.000 |    19.000 |
|   300 |   0 |  295 |    0 |   0 |   5 | GET    | /api/livestream/[0-9]+/report      |  0.004 |  0.208 |  11.104 |  0.037 |  0.004 |  0.020 |  0.004 |  0.033 |     2.000 |  16062.000 |   135663.000 |   452.210 |
|   162 |   0 |  162 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate    |  0.008 |  0.152 |   8.752 |  0.054 |  0.008 |  0.072 |  0.032 |  0.023 |    17.000 |     17.000 |     2754.000 |    17.000 |
|   225 |   0 |  225 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords     |  0.004 |  0.196 |   8.168 |  0.036 |  0.004 |  0.020 |  0.016 |  0.028 |     2.000 |    387.000 |    13326.000 |    59.227 |
|   197 |   0 |  197 |    0 |   0 |   0 | GET    | /api/tag                           |  0.004 |  0.144 |   6.412 |  0.033 |  0.000 |  0.020 |  0.040 |  0.026 |  3384.000 |   3384.000 |   666648.000 |  3384.000 |
|     2 |   0 |    2 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/statistics  |  3.168 |  3.236 |   6.404 |  3.202 |  3.236 |  3.236 |  3.236 |  0.034 |    78.000 |     80.000 |      158.000 |    79.000 |
|    49 |   0 |   49 |    0 |   0 |   0 | DELETE | /api/livestream/[0-9]+/exit        |  0.004 |  0.104 |   1.884 |  0.038 |  0.004 |  0.024 |  0.020 |  0.023 |     0.000 |      0.000 |        0.000 |     0.000 |
|    57 |   0 |   57 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/enter       |  0.004 |  0.100 |   1.884 |  0.033 |  0.004 |  0.060 |  0.100 |  0.024 |     0.000 |      0.000 |        0.000 |     0.000 |
|    10 |   0 |   10 |    0 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/theme       |  0.004 |  0.052 |   0.228 |  0.023 |  0.004 |  0.024 |  0.004 |  0.015 |    28.000 |     28.000 |      280.000 |    28.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/payment                       |  0.004 |  0.004 |   0.004 |  0.004 |  0.004 |  0.004 |  0.004 |  0.000 |    15.000 |     15.000 |       15.000 |    15.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/user/test                     |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    194.000 |      194.000 |   194.000 |
|     3 |   0 |    3 |    0 |   0 |   0 | GET    | /api/user/me                       |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |   194.000 |    206.000 |      606.000 |   202.000 |
|     1 |   0 |    1 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+$            |  0.000 |  0.000 |   0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  0.000 |  1080.000 |   1080.000 |     1080.000 |  1080.000 |
+-------+-----+------+------+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
