+-------+-----+------+------+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |   SUM   |  AVG   |   P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
|    15 |   0 |   13 |    0 |   2 |   0 | GET    | /api/user/[a-zA-Z0-9]+/statistics     |  2.353 | 19.676 | 179.877 | 11.992 |  2.452 | 12.336 |  3.440 |  5.737 |     0.000 |    129.000 |     1470.000 |    98.000 |
|  8128 |   0 | 1407 | 6717 |   4 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon           |  0.004 |  0.160 | 148.600 |  0.018 |  0.020 |  0.048 |  0.024 |  0.017 |     0.000 |  92096.000 | 11086896.000 |  1364.037 |
|   513 |   0 |  511 |    0 |   2 |   0 | GET    | /api/livestream/search                |  0.004 |  0.620 | 123.332 |  0.240 |  0.076 |  0.236 |  0.244 |  0.060 |     0.000 | 108204.000 | 25185633.000 | 49094.801 |
|   448 |   0 |  445 |    0 |   2 |   1 | POST   | /api/register                         |  0.004 |  0.336 |  67.424 |  0.150 |  0.000 |  0.188 |  0.164 |  0.040 |     0.000 |    472.000 |   190643.000 |   425.542 |
|     5 |   0 |    2 |    0 |   3 |   0 | GET    | /api/livestream/[0-9]+/statistics     |  3.428 | 20.000 |  65.976 | 13.195 |  3.428 |  3.436 | 19.944 |  7.977 |     0.000 |     80.000 |      158.000 |    31.600 |
|   932 |   0 |  932 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/livecomment    |  0.004 |  0.300 |  65.908 |  0.071 |  0.008 |  0.020 |  0.076 |  0.050 |     2.000 |  54246.000 | 10735247.000 | 11518.505 |
|   967 |   0 |  966 |    0 |   1 |   0 | GET    | /api/livestream/[0-9]+/reaction       |  0.004 |  0.332 |  60.136 |  0.062 |  0.000 |  0.100 |  0.032 |  0.050 |     0.000 |  51794.000 |  9826606.000 | 10161.950 |
|   347 |   0 |  344 |    0 |   3 |   0 | POST   | /api/livestream/reservation           |  0.028 |  0.276 |  37.232 |  0.107 |  0.016 |  0.132 |  0.148 |  0.044 |    38.000 |   1081.000 |   323408.000 |   932.012 |
|  1117 |   0 | 1111 |    0 |   6 |   0 | POST   | /api/livestream/[0-9]+/livecomment    |  0.004 |  0.252 |  36.612 |  0.033 |  0.008 |  0.028 |  0.060 |  0.021 |     0.000 |   2131.000 |  1721510.000 |  1541.191 |
|   865 |   0 |  864 |    0 |   1 |   0 | POST   | /api/livestream/[0-9]+/reaction       |  0.004 |  0.196 |  29.348 |  0.034 |  0.008 |  0.032 |  0.036 |  0.023 |     0.000 |   1598.000 |  1259966.000 |  1456.608 |
|   472 |   0 |  469 |    0 |   0 |   3 | POST   | /api/icon                             |  0.008 |  0.184 |  18.532 |  0.039 |  0.028 |  0.024 |  0.020 |  0.025 |     8.000 |    134.000 |     4988.000 |    10.568 |
|   630 |   0 |  623 |    0 |   1 |   6 | GET    | /api/livestream/[0-9]+/report         |  0.004 |  0.120 |  13.220 |  0.021 |  0.004 |  0.020 |  0.008 |  0.017 |     0.000 |   6075.000 |   110716.000 |   175.740 |
|   473 |   0 |  473 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords        |  0.004 |  0.152 |  11.748 |  0.025 |  0.000 |  0.012 |  0.008 |  0.022 |     2.000 |    381.000 |    34467.000 |    72.869 |
|     1 |   0 |    1 |    0 |   0 |   0 | POST   | /api/initialize                       | 11.504 | 11.504 |  11.504 | 11.504 | 11.504 | 11.504 | 11.504 |  0.000 |    19.000 |     19.000 |       19.000 |    19.000 |
|   453 |   0 |  451 |    0 |   2 |   0 | POST   | /api/login                            |  0.004 |  0.172 |   9.656 |  0.021 |  0.000 |  0.024 |  0.008 |  0.020 |     0.000 |     54.000 |      108.000 |     0.238 |
|   322 |   0 |  322 |    0 |   0 |   0 | GET    | /api/livestream                       |  0.004 |  0.128 |   9.604 |  0.030 |  0.012 |  0.016 |  0.004 |  0.023 |     2.000 |  17612.000 |   549871.000 |  1707.674 |
|   318 |   0 |  318 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate       |  0.008 |  0.236 |   9.096 |  0.029 |  0.012 |  0.016 |  0.036 |  0.019 |    17.000 |     17.000 |     5406.000 |    17.000 |
|   336 |   0 |  336 |    0 |   0 |   0 | GET    | /api/tag                              |  0.004 |  0.132 |   7.848 |  0.023 |  0.000 |  0.016 |  0.032 |  0.020 |  3384.000 |   3384.000 |  1137024.000 |  3384.000 |
|    85 |   0 |   85 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/enter          |  0.004 |  0.108 |   2.692 |  0.032 |  0.004 |  0.012 |  0.016 |  0.022 |     0.000 |      0.000 |        0.000 |     0.000 |
