+-------+-----+------+------+-----+-----+--------+--------------------------------------+-------+--------+---------+--------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX  | 4XX | 5XX | METHOD |                 URI                  |  MIN  |  MAX   |   SUM   |  AVG   |  P1   |  P50   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+------+-----+-----+--------+--------------------------------------+-------+--------+---------+--------+-------+--------+--------+--------+-----------+------------+--------------+-----------+
| 11700 |   0 | 1944 | 9753 |   3 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon          | 0.004 |  0.132 | 183.782 |  0.016 | 0.012 |  0.020 |  0.028 |  0.012 |     0.000 |  93635.000 | 15929370.000 |  1361.485 |
|   504 |   0 |  502 |    0 |   2 |   0 | GET    | /api/livestream/search               | 0.012 |  0.760 | 149.881 |  0.297 | 0.084 |  0.284 |  0.280 |  0.087 |     0.000 | 122436.000 | 25214956.000 | 50029.675 |
|  1394 |   0 | 1393 |    0 |   1 |   0 | GET    | /api/livestream/[0-9]+/livecomment   | 0.004 |  0.288 | 109.546 |  0.079 | 0.012 |  0.096 |  0.072 |  0.055 |     0.000 |  60762.000 | 15500654.000 | 11119.551 |
|  1429 |   0 | 1425 |    0 |   4 |   0 | GET    | /api/livestream/[0-9]+/reaction      | 0.024 |  0.316 |  99.246 |  0.069 | 0.000 |  0.056 |  0.076 |  0.054 |     0.000 |  58072.000 | 14297822.000 | 10005.474 |
|     7 |   0 |    2 |    0 |   5 |   0 | GET    | /api/livestream/[0-9]+/statistics    | 3.352 | 20.000 |  90.541 | 12.934 | 3.408 | 20.000 | 13.449 |  6.963 |     0.000 |     80.000 |      158.000 |    22.571 |
|   468 |   0 |  464 |    0 |   3 |   1 | POST   | /api/register                        | 0.032 |  0.256 |  73.037 |  0.156 | 0.000 |  0.168 |  0.164 |  0.034 |     0.000 |    475.000 |   198811.000 |   424.810 |
|  1470 |   0 | 1462 |    0 |   8 |   0 | POST   | /api/livestream/[0-9]+/livecomment   | 0.004 |  0.140 |  42.022 |  0.029 | 0.000 |  0.024 |  0.048 |  0.014 |    44.000 |   2109.000 |  2261327.000 |  1538.318 |
|  1283 |   0 | 1283 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction      | 0.004 |  0.120 |  36.200 |  0.028 | 0.004 |  0.020 |  0.060 |  0.014 |  1320.000 |   1617.000 |  1877141.000 |  1463.087 |
|   471 |   0 |  468 |    0 |   3 |   0 | POST   | /api/livestream/reservation          | 0.028 |  0.188 |  35.685 |  0.076 | 0.016 |  0.084 |  0.084 |  0.028 |    38.000 |   1097.000 |   442163.000 |   938.775 |
|   502 |   0 |  498 |    0 |   0 |   4 | POST   | /api/icon                            | 0.008 |  0.112 |  14.520 |  0.029 | 0.064 |  0.068 |  0.020 |  0.016 |     8.000 |    134.000 |     5414.000 |    10.785 |
|   609 |   0 |  607 |    0 |   0 |   2 | GET    | /api/livestream/[0-9]+/report        | 0.004 |  0.088 |  10.340 |  0.017 | 0.004 |  0.032 |  0.012 |  0.012 |     2.000 |   8158.000 |    82327.000 |   135.184 |
|   472 |   0 |  470 |    0 |   2 |   0 | POST   | /api/login                           | 0.004 |  0.104 |   8.204 |  0.017 | 0.000 |  0.012 |  0.048 |  0.012 |     0.000 |     54.000 |      108.000 |     0.229 |
|   464 |   0 |  464 |    0 |   0 |   0 | GET    | /api/tag                             | 0.004 |  0.116 |   8.196 |  0.018 | 0.004 |  0.028 |  0.044 |  0.014 |  3384.000 |   3384.000 |  1570176.000 |  3384.000 |
|   456 |   0 |  456 |    0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords       | 0.004 |  0.100 |   8.037 |  0.018 | 0.004 |  0.028 |  0.016 |  0.013 |     2.000 |    301.000 |    15837.000 |    34.730 |
|   312 |   0 |  312 |    0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate      | 0.004 |  0.088 |   7.320 |  0.023 | 0.024 |  0.012 |  0.020 |  0.011 |    17.000 |     17.000 |     5304.000 |    17.000 |
|   208 |   0 |  208 |    0 |   0 |   0 | GET    | /api/livestream                      | 0.004 |  0.124 |   6.416 |  0.031 | 0.004 |  0.024 |  0.032 |  0.022 |     2.000 |  17642.000 |   521162.000 |  2505.587 |
