+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 15259 | 0   | 2218 | 13037 | 4   | 0   | GET    | /api/user/[a-zA-Z0-9]+/icon           | 0.004 | 0.084 | 202.571 | 0.013 | 0.024 | 0.028 | 0.040 | 0.008  | 0.000     | 103051.000 | 17868234.000 | 1170.996  |
| 706   | 0   | 703  | 0     | 3   | 0   | GET    | /api/livestream/search                | 0.008 | 0.816 | 140.750 | 0.199 | 0.236 | 0.252 | 0.608 | 0.075  | 0.000     | 135752.000 | 34897589.000 | 49430.013 |
| 1894  | 0   | 1893 | 0     | 1   | 0   | GET    | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.360 | 130.127 | 0.069 | 0.140 | 0.176 | 0.232 | 0.052  | 0.000     | 60447.000  | 21665121.000 | 11438.818 |
| 1927  | 0   | 1922 | 0     | 5   | 0   | GET    | /api/livestream/[0-9]+/reaction       | 0.004 | 0.332 | 118.346 | 0.061 | 0.128 | 0.160 | 0.244 | 0.051  | 0.000     | 57868.000  | 20137721.000 | 10450.296 |
| 458   | 0   | 454  | 0     | 3   | 1   | POST   | /api/register                         | 0.028 | 0.256 | 78.686  | 0.172 | 0.208 | 0.216 | 0.240 | 0.036  | 0.000     | 475.000    | 194619.000   | 424.932   |
| 1931  | 0   | 1926 | 0     | 5   | 0   | POST   | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.076 | 48.928  | 0.025 | 0.036 | 0.044 | 0.056 | 0.010  | 44.000    | 2135.000   | 2974853.000  | 1540.576  |
| 1736  | 0   | 1736 | 0     | 0   | 0   | POST   | /api/livestream/[0-9]+/reaction       | 0.004 | 0.104 | 42.686  | 0.025 | 0.036 | 0.040 | 0.056 | 0.010  | 1324.000  | 1598.000   | 2540298.000  | 1463.305  |
| 672   | 0   | 669  | 0     | 3   | 0   | POST   | /api/livestream/reservation           | 0.024 | 0.112 | 39.521  | 0.059 | 0.080 | 0.084 | 0.100 | 0.017  | 38.000    | 1078.000   | 633425.000   | 942.597   |
| 871   | 0   | 865  | 0     | 0   | 6   | GET    | /api/livestream/[0-9]+/report         | 0.004 | 0.084 | 14.252  | 0.016 | 0.028 | 0.032 | 0.056 | 0.010  | 2.000     | 12014.000  | 144031.000   | 165.363   |
| 506   | 0   | 500  | 0     | 0   | 6   | POST   | /api/icon                             | 0.004 | 0.084 | 11.172  | 0.022 | 0.036 | 0.044 | 0.072 | 0.012  | 8.000     | 134.000    | 5699.000     | 11.263    |
| 653   | 0   | 653  | 0     | 0   | 0   | GET    | /api/livestream/[0-9]+/ngwords        | 0.004 | 0.064 | 9.248   | 0.014 | 0.024 | 0.032 | 0.044 | 0.008  | 2.000     | 402.000    | 31739.000    | 48.605    |
| 447   | 0   | 447  | 0     | 0   | 0   | POST   | /api/livestream/[0-9]+/moderate       | 0.004 | 0.056 | 9.133   | 0.020 | 0.028 | 0.036 | 0.044 | 0.008  | 17.000    | 17.000     | 7599.000     | 17.000    |
| 462   | 0   | 460  | 0     | 2   | 0   | POST   | /api/login                            | 0.004 | 0.052 | 6.804   | 0.015 | 0.024 | 0.028 | 0.048 | 0.008  | 0.000     | 54.000     | 108.000      | 0.234     |
| 227   | 0   | 227  | 0     | 0   | 0   | GET    | /api/livestream                       | 0.004 | 0.100 | 5.264   | 0.023 | 0.048 | 0.052 | 0.080 | 0.016  | 2.000     | 17553.000  | 719053.000   | 3167.634  |
| 1     | 0   | 1    | 0     | 0   | 0   | POST   | /api/initialize                       | 3.584 | 3.584 | 3.584   | 3.584 | 3.584 | 3.584 | 3.584 | 0.000  | 19.000    | 19.000     | 19.000       | 19.000    |
| 159   | 0   | 159  | 0     | 0   | 0   | DELETE | /api/livestream/[0-9]+/exit           | 0.004 | 0.088 | 2.388   | 0.015 | 0.028 | 0.032 | 0.044 | 0.010  | 0.000     | 0.000      | 0.000        | 0.000     |
| 170   | 0   | 170  | 0     | 0   | 0   | POST   | /api/livestream/[0-9]+/enter          | 0.004 | 0.052 | 2.228   | 0.013 | 0.024 | 0.028 | 0.040 | 0.008  | 0.000     | 0.000      | 0.000        | 0.000     |
| 667   | 0   | 667  | 0     | 0   | 0   | GET    | /api/tag                              | 0.004 | 0.016 | 1.276   | 0.002 | 0.004 | 0.004 | 0.008 | 0.002  | 3384.000  | 3384.000   | 2257128.000  | 3384.000  |
| 22    | 0   | 17   | 0     | 0   | 5   | GET    | /api/user/[a-zA-Z0-9]+/statistics     | 0.008 | 0.048 | 0.616   | 0.028 | 0.040 | 0.040 | 0.048 | 0.010  | 107.000   | 131.000    | 2576.000     | 117.091   |
| 21    | 0   | 21   | 0     | 0   | 0   | GET    | /api/user/[a-zA-Z0-9]+/theme          | 0.004 | 0.040 | 0.364   | 0.017 | 0.024 | 0.036 | 0.040 | 0.009  | 28.000    | 28.000     | 588.000      | 28.000    |
| 9     | 0   | 9    | 0     | 0   | 0   | GET    | /api/livestream/[0-9]+/statistics     | 0.004 | 0.032 | 0.184   | 0.020 | 0.032 | 0.032 | 0.032 | 0.010  | 78.000    | 83.000     | 727.000      | 80.778    |
| 3     | 0   | 3    | 0     | 0   | 0   | GET    | /api/user/endoyui0/livestream         | 0.032 | 0.048 | 0.124   | 0.041 | 0.048 | 0.048 | 0.048 | 0.007  | 6621.000  | 7542.000   | 20784.000    | 6928.000  |
| 2     | 0   | 2    | 0     | 0   | 0   | GET    | /api/user/kazuya580/livestream        | 0.032 | 0.052 | 0.084   | 0.042 | 0.052 | 0.052 | 0.052 | 0.010  | 7606.000  | 7606.000   | 15212.000    | 7606.000  |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /api/user/shayashi0/livestream        | 0.076 | 0.076 | 0.076   | 0.076 | 0.076 | 0.076 | 0.076 | 0.000  | 12155.000 | 12155.000  | 12155.000    | 12155.000 |
| 2     | 0   | 2    | 0     | 0   | 0   | GET    | /api/user/yoko260/livestream          | 0.032 | 0.040 | 0.072   | 0.036 | 0.040 | 0.040 | 0.040 | 0.004  | 5634.000  | 9441.000   | 15075.000    | 7537.500  |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /api/user/csasaki0/livestream         | 0.056 | 0.056 | 0.056   | 0.056 | 0.056 | 0.056 | 0.056 | 0.000  | 8374.000  | 8374.000   | 8374.000     | 8374.000  |
