+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |                  URI                  |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+---------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 20828 |   0 | 2660 | 18165 |   3 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon           | 0.004 | 0.080 | 220.420 | 0.011 | 0.004 | 0.004 | 0.020 |  0.006 |     0.000 |  88735.000 | 21177201.000 |  1016.766 |
|  1032 |   0 | 1030 |     0 |   2 |   0 | GET    | /api/livestream/search                | 0.012 | 0.460 | 125.912 | 0.122 | 0.012 | 0.116 | 0.152 |  0.045 |     0.000 | 122202.000 | 50694663.000 | 49122.735 |
|  2535 |   0 | 2533 |     0 |   2 |   0 | GET    | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.208 | 120.532 | 0.048 | 0.004 | 0.140 | 0.128 |  0.034 |     0.000 |  61142.000 | 31090416.000 | 12264.464 |
|  2565 |   0 | 2563 |     0 |   2 |   0 | GET    | /api/livestream/[0-9]+/reaction       | 0.024 | 0.220 | 104.768 | 0.041 | 0.000 | 0.028 | 0.048 |  0.032 |     0.000 |  56600.000 | 28829208.000 | 11239.457 |
|   482 |   0 |  480 |     0 |   1 |   1 | POST   | /api/register                         | 0.004 | 0.256 |  77.984 | 0.162 | 0.000 | 0.196 | 0.228 |  0.037 |    43.000 |    481.000 |   205664.000 |   426.689 |
|  2569 |   0 | 2564 |     0 |   5 |   0 | POST   | /api/livestream/[0-9]+/livecomment    | 0.004 | 0.076 |  46.872 | 0.018 | 0.008 | 0.024 | 0.024 |  0.008 |    44.000 |   2162.000 |  3949719.000 |  1537.454 |
|   686 |   0 |  682 |     0 |   4 |   0 | POST   | /api/livestream/reservation           | 0.004 | 0.120 |  38.284 | 0.056 | 0.012 | 0.068 | 0.052 |  0.016 |     0.000 |   1084.000 |   646268.000 |   942.082 |
|  2327 |   0 | 2327 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction       | 0.004 | 0.080 |  36.424 | 0.016 | 0.000 | 0.024 | 0.032 |  0.008 |  1324.000 |   1604.000 |  3404904.000 |  1463.216 |
|  1293 |   0 | 1288 |     0 |   0 |   5 | GET    | /api/livestream/[0-9]+/report         | 0.004 | 0.084 |  16.136 | 0.012 | 0.004 | 0.024 | 0.020 |  0.006 |     2.000 |   6037.000 |   131696.000 |   101.853 |
|   653 |   0 |  653 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate       | 0.004 | 0.068 |  11.812 | 0.018 | 0.020 | 0.020 | 0.040 |  0.007 |    17.000 |     17.000 |    11101.000 |    17.000 |
|   969 |   0 |  969 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords        | 0.004 | 0.064 |  10.600 | 0.011 | 0.008 | 0.012 | 0.020 |  0.006 |     2.000 |    500.000 |    69029.000 |    71.237 |
