+-------+-----+------+-------+-----+-----+--------+------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |                URI                 |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+------------+--------------+-----------+
| 26265 |   0 | 3304 | 22961 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/icon        | 0.000 | 0.076 | 240.036 | 0.009 | 0.004 | 0.008 | 0.012 |  0.005 |     0.000 | 164797.000 | 27287133.000 |  1038.916 |
|  1087 |   0 | 1087 |     0 |   0 |   0 | GET    | /api/livestream/search             | 0.012 | 0.548 | 131.072 | 0.121 | 0.012 | 0.104 | 0.112 |  0.050 | 40418.000 | 132846.000 | 53775369.000 | 49471.361 |
|  3104 |   0 | 3104 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/reaction    | 0.008 | 0.200 | 102.932 | 0.033 | 0.000 | 0.044 | 0.016 |  0.026 |     2.000 |  68983.000 | 38570730.000 | 12426.137 |
|   493 |   0 |  491 |     0 |   1 |   1 | POST   | /api/register                      | 0.028 | 0.260 |  78.044 | 0.158 | 0.000 | 0.172 | 0.180 |  0.034 |    43.000 |    481.000 |   210358.000 |   426.690 |
|  3071 |   0 | 3071 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/livecomment | 0.004 | 0.112 |  77.592 | 0.025 | 0.008 | 0.020 | 0.016 |  0.013 |     2.000 |  73905.000 | 41939611.000 | 13656.663 |
|  3078 |   0 | 3075 |     0 |   3 |   0 | POST   | /api/livestream/[0-9]+/livecomment | 0.004 | 0.140 |  50.752 | 0.016 | 0.004 | 0.012 | 0.016 |  0.007 |    44.000 |   2125.000 |  4733708.000 |  1537.917 |
|   697 |   0 |  694 |     0 |   3 |   0 | POST   | /api/livestream/reservation        | 0.024 | 0.164 |  37.972 | 0.054 | 0.016 | 0.048 | 0.064 |  0.017 |    38.000 |   1088.000 |   657452.000 |   943.260 |
|  2808 |   0 | 2808 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/reaction    | 0.004 | 0.132 |  36.120 | 0.013 | 0.004 | 0.016 | 0.020 |  0.006 |  1333.000 |   1608.000 |  4111660.000 |  1464.266 |
|  1355 |   0 | 1354 |     0 |   0 |   1 | GET    | /api/livestream/[0-9]+/report      | 0.004 | 0.044 |  14.864 | 0.011 | 0.000 | 0.004 | 0.016 |  0.006 |     2.000 |   6261.000 |   123483.000 |    91.131 |
|   679 |   0 |  679 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/moderate    | 0.004 | 0.044 |  11.188 | 0.016 | 0.012 | 0.016 | 0.016 |  0.006 |    17.000 |     17.000 |    11543.000 |    17.000 |
|   544 |   0 |  541 |     0 |   0 |   3 | POST   | /api/icon                          | 0.004 | 0.076 |   9.392 | 0.017 | 0.008 | 0.008 | 0.012 |  0.010 |     8.000 |    134.000 |     5707.000 |    10.491 |
|  1013 |   0 | 1013 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/ngwords     | 0.004 | 0.040 |   9.236 | 0.009 | 0.008 | 0.004 | 0.012 |  0.005 |     2.000 |    393.000 |    63938.000 |    63.117 |
|   499 |   0 |  497 |     0 |   2 |   0 | POST   | /api/login                         | 0.004 | 0.088 |   5.712 | 0.011 | 0.000 | 0.008 | 0.012 |  0.007 |     0.000 |     54.000 |      108.000 |     0.216 |
|   368 |   0 |  368 |     0 |   0 |   0 | GET    | /api/livestream                    | 0.004 | 0.136 |   4.728 | 0.013 | 0.004 | 0.004 | 0.016 |  0.009 |     2.000 |  22274.000 |  1054205.000 |  2864.688 |
|   266 |   0 |  266 |     0 |   0 |   0 | DELETE | /api/livestream/[0-9]+/exit        | 0.004 | 0.040 |   2.752 | 0.010 | 0.008 | 0.012 | 0.012 |  0.005 |     0.000 |      0.000 |        0.000 |     0.000 |
|    20 |   0 |   20 |     0 |   0 |   0 | GET    | /api/livestream/[0-9]+/statistics  | 0.020 | 0.176 |   2.696 | 0.135 | 0.024 | 0.176 | 0.148 |  0.042 |    78.000 |     83.000 |     1622.000 |    81.100 |
|    33 |   0 |   24 |     0 |   0 |   9 | GET    | /api/user/[a-zA-Z0-9]+/statistics  | 0.016 | 0.148 |   2.492 | 0.076 | 0.016 | 0.076 | 0.080 |  0.027 |   107.000 |    133.000 |     3884.000 |   117.697 |
|   277 |   0 |  277 |     0 |   0 |   0 | POST   | /api/livestream/[0-9]+/enter       | 0.004 | 0.036 |   2.392 | 0.009 | 0.000 | 0.012 | 0.008 |  0.005 |     0.000 |      0.000 |        0.000 |     0.000 |
|     1 |   0 |    1 |     0 |   0 |   0 | POST   | /api/initialize                    | 2.180 | 2.180 |   2.180 | 2.180 | 2.180 | 2.180 | 2.180 |  0.000 |    19.000 |     19.000 |       19.000 |    19.000 |
|   702 |   0 |  702 |     0 |   0 |   0 | GET    | /api/tag                           | 0.004 | 0.012 |   1.364 | 0.002 | 0.000 | 0.000 | 0.004 |  0.002 |  3384.000 |   3384.000 |  2375568.000 |  3384.000 |
|    32 |   0 |   32 |     0 |   0 |   0 | GET    | /api/user/[a-zA-Z0-9]+/theme       | 0.004 | 0.032 |   0.328 | 0.010 | 0.000 | 0.008 | 0.004 |  0.006 |    28.000 |     28.000 |      896.000 |    28.000 |
